listed_price,mrp,page_number,published_date,ratings_count,title
,,1,,,
0,?48,1,,"9,397",The Art of War
177,?299,1,,"6,536",Don't Believe Everything You Think (English)
149,?199,1,,"13,668",The Power of Your Subconscious Mind
,,1,,,
185,?250,1,,"11,345","Three Thousand Stitches: Ordinary People, Extraordinary Lives [Paperback] Murty, Sudha"
275,?399,1,,"3,836",Days at the Morisaki Bookshop : A charming and uplifting Japanese translated story on the healing power of books
197,?299,1,,"1,340","The Art of Being Alone: Loneliness Was My Cage, Solitude Is My Home"
174,?250,1,,"4,041",YOU ONLY LIVE ONCE
247,?399,1,,"177,606",A Man Called Ove
164,?250,1,,"10,465",Stop Overthinking
,,1,,,
171,?250,1,,982,11 Rules For Life: Secrets to Level Up
169,?225,1,,"15,041",The Theory Of Everything
259,?399,1,,"148,575",The Alchemist
349,?699,1,,"26,550",World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books) : Perfect Motivational Gift Set
261,?399,1,,"28,709","Deep Work: Rules for Focused Success in a Distracted World [Paperback] Newport, Cal"
399,?599,1,,296,The Constitution of India (Deluxe Hardbound Edition) (Latest and Updated)
146,?225,1,,"25,076",Attitude is Everything change your attitude change your life!
,,1,,,
,,1,,,
,,1,,,
,,2,,,
188,?399,2,,498,Make Epic Money
311,?550,2,,"4,196",Manifest: 7 Steps to living your best life
206,?250,2,,"23,672",Life's Amazing Secrets: How to find Bala
,,2,,,
199,?299,2,,"33,895",The Monk Who Sold His Ferrari
399,?749,2,,"78,452",My First Library: Boxset of 10 Board Books for Kids
0,?233,2,,"9,017",Dopamine Detox : A Short Guide to Remove Distractions and Get Your Brain to Do Hard Things (Productivity Series Book 1)
254,?499,2,,"14,118","Courage To Be Disliked, The: How to free yourself, change your life and achieve real happiness (Courage To series)"
262,?399,2,,"110,203",The Four Agreements
188,?250,2,,"19,702","Grandma's Bag of Stories: Collection of 20+ Illustrated short stories, traditional Indian folk tales for all ages for children of all ages by Sudha Murty [Paperback] Sudha Murty"
,,2,,,
168,?299,2,,370,Focus on What Matters
269,?501,2,,"4,843","Read People Like a Book: How to Analyze, Understand, and Predict People’s Emotions, Thoughts, Intentions, and Behaviors (How to be More Likable and Charismatic Book 1)"
693,"?1,199",2,,"71,080","The Boy, The Mole, The Fox and The Horse [Hardcover] Mackesy, Charlie"
175,?250,2,,"20,525",Who Will Cry When You Die?
259,?399,2,,"26,769",Girl Who Drank The Moon
354,?820,2,,"94,868",Atomic Habits: the life-changing million-copy #1 bestseller
975,"?1,799",2,,"1,175",Sherlock Holmes Series Complete Collection 7 Books Set by Arthur Conan Doyle
,,2,,,
,,2,,,
,,2,,,
,,3,,,
324,?499,3,,"3,170",The India Way: Strategies for an Uncertain World
125,?150,3,,"15,841",THE BLUE UMBRELLA
164,?275,3,,"8,905","My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Books for Kids - English Short Stories - Read Aloud to Infants, Toddlers"
,,3,,,
359,?550,3,,268,Wabi Sabi : The Wisdom in Imperfection
"1,490","?2,990",3,,683,Trading Mastermind Book - Become a Trading Expert From Scratch
264,?499,3,,"55,086",The Good Girl's Guide to Murder: Book 1 (A Good Girl?s Guide to Murder) (A Good Girl?s Guide to Murder)
401,,3,,269,"Golden Touch, The"
118,?125,3,,"7,876",Black Holes (L) : The Reith Lectures
184,?250,3,,"22,543",One Arranged Murder
,,3,,,
256,?399,3,,"18,316",The Compound Effect
231,?350,3,,130,"Story Books for Kids (Set of 10 Books) (Illustrated) - World and Indian Scientists - Biographies for Children - 6 Years to 10 Years Old - Einstein, Newton, Galileo Galilei, Marie Curie, Charles Darwin, CV Raman, Homi Bhabha, Ramanujan, Vikram Sarabhai, Abdul Kalam"
166,,3,,"1,114","Classmate Long Book - Single Line, 172 Pages, 272 Mm X 167 Mm - Pack Of 3 (Assorted)"
100,?135,3,,"2,172","MINtile Sank Magic Practice Copybook, (4 Book + 10 Refill) Number Tracing Book for Preschoolers with Pen, Magic Calligraphy Copybook Set Practical Reusable Writing Tool Simple Hand Lettering"
682,?720,3,,"5,378","Classmate Long Notebook - 140 Pages, Single Line, 297mm x 210mm (Pack of 12)"
390,?599,3,,"90,303",Harry Potter and the Chamber of Secrets
194,"?7,551",3,,"27,137",Tuesdays With Morrie: The most uplifting book ever written about the importance of human connection
,,3,,,
,,3,,,
,,3,,,
,,4,,,
199,,4,,"1,936",BRAHMASTRA Complete Maths Multicolored Formula Book Second Edition BILINGUAL by Aditya Ranjan Sir
328,"?1,181",4,,"143,929",The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life (Mark Manson Collection Book 1)
328,?499,4,,8,The Book of Emperors: An Illustrated History of the Mughals
,,4,,,
"1,098","?1,699",4,,"3,960",Harry Potter 1–3 Box Set: A Magical Adventure Begins (Set of 3 Books)
369,?499,4,,,"Secret Book Hardcover, Novel"
120,,4,,"5,900","Classmate Drawing Book - Unruled, 36 Pages, 210 mm x 297 mm - Pack of 4"
199,?299,4,,"5,680",Animals Tales From Panchtantra: Timeless Stories for Children From Ancient India
199,?299,4,,"1,359",Night Train at Deoli and Other Stories
228,?350,4,,"2,789","Moral Story Books for Kids (Illustrated) - English Short Stories with Colourful Pictures - Bedtime Children Story Book - 3 Years to 6 Years Old Children - Read Aloud to Infants, Toddlers (Set of 10 Books)"
,,4,,,
336,?499,4,,"17,634",Magic [Paperback] Rhonda Byrne
199,?230,4,,1,English Comprehension book for all competitives exams | SSC | CGL Tier(I / II) | CHSL | MTS | CPO | STENO | GD | Bank | IBPS PO | SBI PO | RRB PO | CAT | MBA | CDS | Other competitive exams
49,?501,4,,"9,438","Do It Today: Overcome Procrastination, Improve Productivity, and Achieve More Meaningful Things"
130,?150,4,,"3,308",Miracles of Your Mind
110,,4,,13,Camel 140 GSM A4 Sketch Book
500,"?1,999",4,,"1,371","FunBlast Interactive Children Book -Musical English Educational Phonetic Learning Book for 3 + Year Kids, Boys, Toddlers (Multicolor) (Intelligence Book)"
280,?320,4,,,"SURA`S TNPSC General English Study Material Books for Group 2, 2A, 4 & VAO Exam Books - Latest Edition 2024"
,,4,,,
,,4,,,
,,4,,,
,,5,,,
129,?175,5,,862,"Red and Blue Line with Gap Books | Small Four Line Books | 76 Ruled Pages | Hard Brown Cover | 15.5 cm x 19 cm Approx | Pack of 5 Notebooks | for School, College and Office Use | GSM 60"
799,?900,5,,,Malhar And Poorvi Textbook Of English For (Grade 6) Class VI Latest Edition as per NCERT/CBSE
0,"?2,194",5,,"46,427","The Intelligent Investor, Rev. Ed: The Definitive Book on Value Investing"
,,5,,,
129,?139,5,,"28,137",My First Book of Patterns Pencil Control: Patterns Practice book for kids (Pattern Writing)
312,?499,5,,82,Translating Myself and Others
154,?599,5,,33,Silver Lining: Overcoming Adversity To B
404,?625,5,,762,"Best of Hindi Short Stories (Set of 4 books) - Premchand, Jaishankar Prasad, Sarat Chandra, Rabindranath Tagore [Paperback] Various Authors"
0,?221,5,,"4,035",Learning How to Fly: Life Lessons for the Youth
789,"?1,050",5,,4,"Quantitative Aptitude for CAT | 11th Edition (Latest) | Quant | CAT Preparation Exam Book 2024 | Previous Years Solved Papers (PYQ) | McGraw Hill edge Access: Mock Tests, Expert Sessions & Strategies"
,,5,,,
225,?299,5,,647,Family Wisdom
