book_name,details_page,five_star_rating,four_star_rating,one_star_rating,page_number,three_star_rating,two_star_rating
Stop Overthinking,https://www.amazon.in/Stop-Overthinking-Nick-Trenton/dp/014345921X,64%,21%,3%,1,9%,3%
The Power of Your Subconscious Mind,https://www.amazon.in/Power-Your-Subconscious-Mind-Success/dp/8172345666,68%,21%,3%,1,7%,2%
11 Rules For Life: Secrets to Level Up,https://www.amazon.in/11-Rules-Life-Secrets-Level/dp/935699997X,72%,17%,3%,1,6%,2%
The Alchemist,https://www.amazon.in/Alchemist-Paulo-Coelho/dp/8172234988,71%,20%,2%,1,6%,1%
"Three Thousand Stitches: Ordinary People, Extraordinary Lives [Paperback] Murty, Sudha",https://www.amazon.in/Three-Thousand-Stitches-Ordinary-Extraordinary/dp/0143440055,71%,21%,1%,1,6%,1%
Dopamine Detox : A Short Guide to Remove Distractions and Get Your Brain to Do Hard Things,https://www.amazon.in/Dopamine-Detox-Remove-Distractions-Things/dp/8183286011,57%,28%,1%,1,11%,3%
"Deep Work: Rules for Focused Success in a Distracted World [Paperback] Newport, Cal",https://www.amazon.in/Deep-Work-Focused-Success-Distracted/dp/0349413681,65%,23%,2%,1,8%,2%
The Kalki Trilogy (Set of 3 Books) - Avatar of Vishnu; Eye of Brahma; Sword of Shiva,https://www.amazon.in/Kalki-Trilogy-Set-Books-Avatar/dp/9354407331,66%,19%,5%,1,7%,3%
"The Art of Being Alone: Loneliness Was My Cage, Solitude Is My Home",https://www.amazon.in/Art-Being-Alone-Loneliness-Solitude/dp/9355434022,65%,21%,4%,1,9%,2%
The Mountain Is You: Transforming Self-Sabotage Into Self-Mastery,https://www.amazon.in/Mountain-You-Transforming-Self-Sabotage-Self-Mastery/dp/9355434146,61%,19%,8%,1,8%,3%
The Theory Of Everything,https://www.amazon.in/Theory-Everything-Stephen-Hawking/dp/8179925919,69%,21%,2%,1,6%,2%
World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books) : Perfect Motivational Gift Set,https://www.amazon.in/Worlds-Greatest-Personal-Growth-Wealth/dp/9389432014,68%,21%,3%,1,6%,2%
Don't Believe Everything You Think (English),https://www.amazon.in/Dont-Believe-Everything-You-Think/dp/935543135X,70%,19%,3%,1,6%,2%
The Four Agreements,https://www.amazon.in/Four-Agreements-Practical-Guide/dp/1878424408,66%,20%,2%,2,10%,2%
Make Epic Money,https://www.amazon.in/Make-Epic-Money-Ankur-Warikoo/dp/0670099813,63%,23%,4%,2,8%,3%
"The Boy, The Mole, The Fox and The Horse [Hardcover] Mackesy, Charlie",https://www.amazon.in/Boy-Mole-Fox-Horse/dp/1529105102,84%,10%,2%,2,3%,1%
Girl Who Drank The Moon,https://www.amazon.in/Girl-Who-Drank-Moon/dp/1848126476,68%,21%,3%,2,6%,2%
"Grandma's Bag of Stories: Collection of 20+ Illustrated short stories, traditional Indian folk tales for all ages for children of all ages by Sudha Murty [Paperback] Sudha Murty",https://www.amazon.in/Grandmas-Bag-Stories-Sudha-Murty/dp/0143333623,72%,20%,2%,2,5%,1%
Attitude is Everything change your attitude change your life!,https://www.amazon.in/Attitude-Everything-Change-Your-Life/dp/9351772071,68%,22%,2%,2,7%,2%
Manifest: 7 Steps to living your best life,https://www.amazon.in/Manifest-Sunday-Times-bestseller-change/dp/0241539595,74%,15%,4%,2,6%,2%
The Constitution of India (Deluxe Hardbound Edition) (Latest and Updated),https://www.amazon.in/Constitution-India-Deluxe-Hardbound/dp/9358560746,77%,13%,3%,2,6%,1%
A Good Girl's Guide to Murder (Box Set of 3 Books),https://www.amazon.in/Good-Girls-Guide-Murder-Books/dp/0008534969,77%,13%,3%,2,6%,1%
Focus on What Matters,https://www.amazon.in/Focus-What-Matters-Darius-Foroux/dp/0143461842,63%,23%,5%,2,8%,2%
A Man Called Ove,https://www.amazon.in/CALLED-FORMAT-Paperback-Backman-Fredrik/dp/1444775812,73%,19%,1%,1,5%,1%
The Book Thief (10th Anniversary Edition),https://www.amazon.in/Book-Thief-Definitions-Young-Adult/dp/1909531618,73%,19%,2%,2,5%,1%
